                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4505,                0.74198,                 1.0513,                0.47147,                0.02424,                0.06518,                0.04249,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4324,                0.72649,                 1.0501,                0.15686,                0.02424,                 0.0953,                0.05861,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4288,                0.72236,                 1.0388,                0.15385,                0.02424,                0.09461,                0.05453,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4256,                0.72175,                 1.0405,                0.14263,                0.02424,                0.08195,                0.05104,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4381,                0.68099,                  1.021,                0.44142,                0.02424,                0.07612,                0.04459,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 1.4139,                0.66055,                 1.0225,                0.13115,                0.02424,                0.08422,                0.05918,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4168,                0.65469,                  1.022,                0.42026,                0.02424,                0.09919,                0.06067,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3918,                0.64248,                 1.0142,                0.14815,                0.02424,                0.09085,                0.06117,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3993,                 0.6438,                 1.0134,                 0.5419,                0.02424,                0.08631,                0.05286,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3958,                0.64046,                 1.0042,                0.22606,                0.02424,                0.08439,                 0.0559,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 1.3778,                0.63178,                 1.0069,                0.13793,                0.02424,                0.08757,                0.05178,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3652,                0.63181,                0.99819,                0.17778,                0.02424,                0.10796,                0.06626,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3502,                0.60595,                0.99883,                0.17391,                0.02424,                0.10608,                0.06382,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3786,                0.61945,                0.99871,                0.17778,                0.02424,                0.10743,                0.06366,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
