                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5306,                 1.7652,                 1.4717,                0.69265,                0.40458,                0.40597,                0.22864,                    nan,                    nan,                    nan,               0.000664,               0.000664,               0.000664
                      2,                 1.5386,                 1.5251,                 1.4834,                0.60029,                0.40204,                0.36749,                0.22049,                    nan,                    nan,                    nan,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.5037,                 1.4826,                 1.4838,                0.66022,                0.36641,                0.36796,                0.19351,                    nan,                    nan,                    nan,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.5504,                 1.4107,                 1.4713,                0.79208,                0.41682,                0.42435,                0.25428,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4877,                 1.3708,                 1.4223,                0.80563,                0.37968,                0.40892,                0.23826,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4765,                 1.3267,                 1.4255,                0.83935,                0.40712,                0.44448,                0.27722,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 1.4499,                 1.2738,                 1.3974,                0.69504,                0.38931,                0.39764,                0.23127,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4263,                 1.2746,                 1.4276,                0.83453,                0.43511,                0.46331,                0.28318,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4171,                 1.2266,                 1.3924,                0.86728,                 0.4173,                0.45562,                0.29565,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4042,                   1.21,                  1.374,                0.76468,                0.43824,                0.45684,                0.28104,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3769,                 1.1798,                 1.3606,                0.82499,                0.41981,                0.45356,                 0.2697,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                 1.3832,                 1.1484,                 1.3644,                0.86327,                0.42494,                0.45814,                0.29065,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3682,                 1.1318,                 1.3456,                0.85681,                0.44157,                0.47835,                0.29959,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3264,                 1.0938,                 1.3298,                0.92833,                0.43257,                0.47843,                0.30906,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3233,                 1.0752,                 1.3176,                0.87544,                 0.4402,                0.48676,                0.31454,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2911,                 1.0248,                 1.2932,                0.82315,                0.45004,                0.47687,                 0.3091,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                 1.2862,                 1.0143,                 1.3067,                0.88721,                0.46034,                 0.4841,                 0.3242,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2881,                 1.0044,                 1.3068,                0.85731,                0.42808,                0.47696,                0.29002,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2333,                0.95833,                 1.2776,                0.90782,                0.42239,                0.46953,                0.30995,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2345,                0.95254,                 1.2877,                0.89076,                0.43766,                0.48731,                0.33283,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2149,                0.94161,                 1.2672,                0.91466,                0.45547,                0.49346,                 0.3472,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                 1.2165,                  0.928,                 1.2652,                0.85054,                0.45547,                 0.4873,                0.33108,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2103,                0.91654,                  1.266,                0.88653,                0.45038,                0.49354,                0.33686,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2089,                0.90222,                 1.2646,                0.87334,                0.45619,                0.49598,                0.33993,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1728,                0.87544,                 1.2538,                0.82196,                0.45814,                0.49184,                0.33614,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1857,                0.86252,                 1.2492,                0.86191,                0.46057,                0.49521,                 0.3399,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     27,                 1.1808,                0.86211,                  1.252,                0.89617,                0.46121,                0.50808,                0.35042,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1737,                 0.8546,                 1.2541,                0.88408,                0.45038,                  0.497,                 0.3407,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1493,                0.82694,                  1.238,                0.90994,                0.46279,                0.51673,                0.36203,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
