                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.4193,                0.87691,                 1.2196,                0.90532,                0.32275,                0.37229,                0.25919,                    nan,                    nan,                    nan,               0.008779,               0.008779,               0.008779
                     39,                 1.4223,                0.88893,                 1.2165,                0.93278,                0.32172,                0.39762,                0.28033,                    nan,                    nan,                    nan,               0.008746,               0.008746,               0.008746
                     40,                 1.4304,                0.89877,                 1.2254,                0.94239,                0.32275,                0.37565,                0.26183,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     41,                 1.4063,                0.88379,                  1.212,                0.93451,                0.32172,                0.38753,                0.26746,                    nan,                    nan,                    nan,                0.00868,                0.00868,                0.00868
                     42,                 1.4288,                0.87838,                 1.2123,                0.92131,                0.32275,                0.38906,                 0.2698,                    nan,                    nan,                    nan,               0.008647,               0.008647,               0.008647
                     43,                 1.4232,                0.87694,                 1.2016,                0.94399,                 0.3281,                0.40144,                0.28254,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     44,                 1.4016,                0.87175,                 1.2037,                   0.95,                0.31967,                0.38196,                 0.2689,                    nan,                    nan,                    nan,               0.008581,               0.008581,               0.008581
                     45,                 1.3972,                0.85043,                 1.1975,                0.92488,                0.32797,                0.39614,                0.28292,                    nan,                    nan,                    nan,               0.008548,               0.008548,               0.008548
                     46,                 1.4006,                0.85796,                 1.2031,                0.96328,                0.32377,                0.42988,                0.31178,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     47,                 1.4012,                 0.8512,                 1.1979,                0.90366,                0.32992,                0.38851,                0.27632,                    nan,                    nan,                    nan,               0.008482,               0.008482,               0.008482
                     48,                 1.3798,                0.84341,                 1.1922,                0.96393,                0.32992,                0.40581,                0.29107,                    nan,                    nan,                    nan,               0.008449,               0.008449,               0.008449
                     49,                 1.4172,                0.86063,                  1.201,                0.94498,                0.32889,                 0.3828,                0.26952,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     50,                 1.3968,                0.83978,                  1.204,                0.93248,                0.32787,                0.38995,                0.27619,                    nan,                    nan,                    nan,               0.008383,               0.008383,               0.008383
                     51,                 1.3848,                0.83769,                 1.1878,                0.90941,                0.32914,                0.37273,                0.26576,                    nan,                    nan,                    nan,                0.00835,                0.00835,                0.00835
                     52,                 1.3756,                0.84328,                   1.19,                0.97557,                0.32787,                0.39998,                0.28265,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     53,                 1.3814,                0.83202,                   1.18,                0.95128,                0.33094,                 0.4034,                0.28817,                    nan,                    nan,                    nan,               0.008284,               0.008284,               0.008284
                     54,                 1.3644,                0.82673,                 1.1794,                0.94278,                0.33299,                0.40625,                0.29225,                    nan,                    nan,                    nan,               0.008251,               0.008251,               0.008251
                     55,                 1.3833,                0.84355,                 1.1899,                0.96835,                0.33094,                0.38946,                0.27576,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     56,                 1.3591,                0.80915,                 1.1823,                0.95271,                0.32684,                0.41961,                0.30344,                    nan,                    nan,                    nan,               0.008185,               0.008185,               0.008185
                     57,                 1.3626,                0.82242,                 1.1826,                0.95228,                0.32713,                0.40341,                0.29171,                    nan,                    nan,                    nan,               0.008152,               0.008152,               0.008152
                     58,                 1.3551,                0.79997,                 1.1794,                0.95186,                0.33197,                 0.4177,                0.30482,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     59,                 1.3682,                0.80939,                 1.1823,                0.95257,                0.33197,                 0.4173,                0.30046,                    nan,                    nan,                    nan,               0.008086,               0.008086,               0.008086
                     60,                 1.3775,                0.81739,                 1.1859,                0.97015,                0.32992,                0.40725,                0.29406,                    nan,                    nan,                    nan,               0.008053,               0.008053,               0.008053
                     61,                 1.3557,                0.79918,                 1.1758,                 0.9653,                0.32992,                0.42104,                0.30694,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     62,                 1.3607,                0.82295,                  1.182,                0.96094,                0.32684,                0.38842,                0.28144,                    nan,                    nan,                    nan,               0.007987,               0.007987,               0.007987
                     63,                 1.3493,                0.80107,                 1.1728,                0.94714,                0.33046,                0.40682,                0.30246,                    nan,                    nan,                    nan,               0.007954,               0.007954,               0.007954
                     64,                 1.3385,                0.80466,                 1.1645,                0.95678,                0.32992,                0.40167,                0.29263,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     65,                 1.3427,                0.80083,                 1.1725,                0.94916,                0.33299,                0.39818,                0.28912,                    nan,                    nan,                    nan,               0.007888,               0.007888,               0.007888
                     66,                 1.3375,                0.80209,                 1.1729,                0.94476,                0.33197,                 0.4026,                0.29439,                    nan,                    nan,                    nan,               0.007855,               0.007855,               0.007855
                     67,                 1.3337,                 0.7939,                 1.1699,                0.96639,                0.32992,                0.39632,                0.29297,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
