                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7259,                 2.1119,                 1.3236,                0.61874,                 0.2379,                0.23164,                0.12597,                    nan,                    nan,                    nan,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.6663,                 1.5627,                 1.2789,                0.77333,                0.24343,                0.25458,                0.15509,                    nan,                    nan,                    nan,                0.00663,                0.00663,                0.00663
                      3,                 1.7289,                 1.5392,                 1.3231,                 0.5016,                0.23375,                0.19879,                0.11532,                    nan,                    nan,                    nan,              0.0098973,              0.0098973,              0.0098973
                      4,                 1.8019,                 1.5087,                 1.3794,                  0.635,                0.22545,                0.23556,                 0.1266,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7628,                 1.4323,                 1.3771,                0.66164,                0.26279,                0.26014,                0.15317,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      6,                  1.732,                  1.344,                 1.3539,                0.59609,                0.24205,                0.23865,                0.14123,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7181,                  1.299,                 1.3562,                  0.806,                0.25035,                0.26392,                0.15768,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      8,                 1.7053,                 1.2744,                 1.3521,                0.71617,                0.25127,                 0.2617,                0.15288,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6775,                  1.229,                 1.3329,                0.68334,                0.25588,                0.26313,                0.14781,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     10,                 1.6505,                 1.1891,                 1.3278,                0.81241,                0.26833,                0.29125,                0.17936,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6251,                 1.1535,                 1.3119,                0.67082,                0.25864,                0.26851,                0.15992,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     12,                 1.6036,                 1.1251,                 1.2924,                0.74122,                0.26939,                0.29215,                0.18069,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6077,                  1.114,                 1.2891,                0.67305,                0.27333,                0.28692,                0.17484,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
